Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Cameroon",1847.2189,1902.266,1961.0879,2028.5474,2084.9207,2143.98,2198.236,2222.911,2269.518,2315.607,2352.7996,2370.1306,2420.1328,2494,2536.5469,2590.71,2657.403,2718.3054,2758.029,2779.5483,2815.3162,2832.0767,2769.2869,2791.79,2812.2148
"Canada",33785.746,35345.723,36942.562,37307.207,38123.99,38559.977,39491.57,40485.02,41247.15,41806.863,41896.426,40312.62,41209.426,42197,42476.344,43008.83,43800.64,43761.527,43702.08,44493.652,45087.887,45284.215,42493.63,44379.594,45529.645
"Cape Verde",2999.6245,3346.88,3583.587,3799.0327,3998.2617,4185.4893,4368.0547,4659.396,5140.8706,5597.85,5985.107,5926.5063,6033.72,6295,6273,6234,6262,6266,6461.3506,6676.986,6848.757,7297.2793,5831.9985,6173.23,7202.767
"Central African Republic",936.2383,967.8432,963.94617,952.5118,928.77167,845.50555,853.182,858.5237,881.48517,897.47833,901.8513,898.7005,910.31036,909,916,567,561,576,592.92346,608.28564,619.18744,623.5598,613.78937,606.85913,596.393
"Chad",753.8608,733.78125,716.04236,783.0552,831.82916,925.51263,1200.2726,1266.105,1225.5164,1422.3408,1422.2312,1533.1794,1720.3344,1661,1742.654,1776.092,1829.8347,1802.3212,1648.0383,1555.7141,1541.4716,1543.8029,1463.5312,1402.6732,1393.5635
"Chile",15259.541,14846.418,15211.623,15448.009,15509.825,15809.178,16478.973,17137.486,17920.803,18487.9,18804.03,18184.48,18909.848,19705,20690.797,21171.06,21337.76,21574.018,21715.713,21709.428,22175.664,21924.408,20205.87,22324.96,22740.72
"China",4309.847,4466.7363,4730.3545,4995.1445,5343.1123,5649.4634,6067.5913,6626.592,7271.0356,7895.713,8190.1123,8734.041,9658.419,10221,10946.834,11731.295,12515.198,13325.432,14138.955,15030.447,15977.008,16879.54,17225.969,18666.605,19238.18
"Colombia",8863.262,8382.14,8496.792,8528.033,8630.542,8855.218,9211.279,9524.723,10039.684,10602.305,10846.737,10894.103,11191.687,11788,12129.81,12633.481,12981.565,13237.291,13367.445,13380.643,13485.702,13603.993,12377.135,13553.399,14468.964
"Comoros",1179.8441,1189.2567,1204.4023,1217.4993,1229.856,1240.0514,1247.2749,1265.6866,1388.0027,1382.5391,1419.3671,1455.2823,1432.5624,1479,1509,1619,1647,1696,1705.7402,1764.7029,1801.6912,1832.4357,1869.9441,1886.0608,1900.3983
"Congo",4042.7783,3925.6865,4159.2227,4256.6553,4458.6343,4467.904,4560.5127,4820.7075,5016.0576,4844.97,5081.1313,5379.0044,5738.163,5875,6300.0493,6140.1865,6428.496,6079.4575,5315.17,4977.3423,4637.726,4583.337,4203.1104,4168.0244,4187.507
