Name,Water,Energ (kcal),Protein,Lipid,Ash,Carbohydrt,Sugar,Calcium,Iron,Magnesium,Sodium,Zinc,Copper,Vit_C,Vit_B6,Cholestrl
BF.BTTM SRLOIN.TRI-TIP RST.LN & FAT.0 FAT.ALL GRDS.CKD.RSTD,62.63,211,26.05,11.07,1.05,0,0,19,1.66,22,53,4.67,0.078,0,0.545,84
BF.CHK. CLOD.SHLDR TENDER.MED.LN & FAT.0 FAT.SE.CKD.GRILLED,65.79,172,26.45,6.43,1,0,0,5,2.6,24,58,5.19,0.253,0,0.615,80
BF.CHK. CLOD.TOP & CNTR.STK.LN & FAT.0 FAT.SEL.CKD.GRLD,64.65,176,26.66,6.94,1.07,0,0,5,3.23,28,62,7.58,0.073,0,0.593,77
BF.CHK.CLD.SHDR TNDR.MED.LN & FAT.0 FAT.ALL GRDS.CK.GRLD,65.65,177,26.22,7.2,1.02,0,0,5,2.59,25,59,5.24,0.171,0,0.596,78
BF.CHK.CLD.SHLDR TNDR.MEDALLION.LN & FAT.0 FAT.ALL GRDS.RAW,72.8,144,20.54,6.22,0.92,0,0,5,1.95,23,58,3.72,0.131,0,0.503,57
BF.CHK.CLOD.SHDR TNDR.MED.LN & FAT.0 FAT.CH.CKD.GRILLED,65.57,181,26.07,7.68,1.03,0,0,5,2.58,25,60,5.26,0.09,0,0.586,76
BF.CHK.CLOD.SHLDR TENDER.MEDALLION.LN & FAT.0 FAT.CHOIC.RAW,72.87,145,20.51,6.36,0.91,0,0,5,2.01,23,59,3.98,0.131,0,0.516,56
BF.CHK.CLOD.SHLDR TENDER.MEDALLION.LN & FAT.0 FAT.SEL.RAW,72.79,142,20.93,5.79,0.9,0,0,5,2.39,25,60,4.38,0.13,0,0.519,58
BF.CHK.CLOD.TOP BLADE.STEAK.LN & FAT.0 FAT.CH.CKD.GRILLED,61.93,228,24.7,13.59,0.94,0,0,6,2.78,23,78,8.77,0.139,0,0.376,83
BF.CHK.CLOD.TOP BLADE.STEAK.LN & FAT.0 FAT.SEL.CKD.GRILLED,62.22,212,25.29,11.52,0.93,0,0,6,3.1,24,76,9.61,0.122,0,0.41,83
BF.CHK.SHLDR CLOD.TOP & CNTR.STK.LN & FAT.0 FAT.CH.CKD.GRLD,65.02,184,26.07,8.11,1.03,0,0,5,2.57,24,59,6.85,0.097,0,0.567,74
BF.CHK.SHLDR CLOD.TOP BLADE.STEAK.LN & FAT.0 FAT.CHOIC.RAW,70,182,18.75,11.33,0.88,0,0,5,2.23,20,74,6.58,0.121,0,0.375,65
BF.CHUCK.CLOD.TOP & CNTR.STEAK.LN & FAT.0 FAT.ALL GRDS.RAW,72.51,141,20.67,5.88,0.9,0,0,4,2.31,24,60,5.49,0.094,0,0.656,57
BF.CHUCK.CLOD.TOP BLADE.STK.LN & FAT.0 FAT.ALL.CKD.GRLD,62.04,222,24.93,12.79,0.94,0,0,6,2.88,23,77,9.05,0.134,0,0.387,83
BF.CHUCK.SHLDR CLOD. TOP & CNTR.STK.LN & FAT.0 FAT.SEL.RAW,72.54,140,21.13,5.51,0.88,0,0,4,2.64,25,58,5.99,0.107,0,0.622,58
BF.CHUCK.SHLDR CLOD.TOP BLADE.STEAK.LN & FAT.0 FAT.SEL.RAW,71.19,166,19.38,9.22,0.94,0,0,6,2.62,23,75,7.47,0.116,0,0.358,66
BF.LOIN.BTTM SIRLOIN BUTT.TRI-TIP.LN.0 FAT.ALL GRD.CKD.RSTD,64.67,182,26.75,8.34,1.08,0,0,17,1.69,23,55,4.93,0.079,0,0.574,71
BF.RIB.EYE.SML END (RIB 10-12).LN & FT.0 FAT.CHOIC.CKD.BRLD,55.87,265,26.58,16.76,1.08,0,0,18,1.8,22,53,4.79,0.088,0,0.53,126
BF.RND.KNUCK.TIP SIDE.STK.LN & FAT.0 FAT.ALL GRDS.CKD.GRLD,65.68,168,29.08,4.84,1.16,0,0,5,2.77,26,54,7.25,0.112,0,0.559,80
BF.RND.KNUCKLE.TIP CNTR.STEAK.LN & FAT.0 FAT.SE.CKD.GRILLED,67.13,162,26.61,5.32,0.97,0,0,5,2.49,26,53,7.41,0.088,0,0.457,74
BF.RND.KNUCKLE.TIP CNTR.STK.LN & FAT.0 FAT.ALL.CKD.GRLD,65.46,177,27.12,6.78,1,0,0,5,2.51,26,52,6.84,0.089,0,0.496,77
BF.RND.KNUCKLE.TIP CNTR.STK.LN & FAT.0 FAT.CHOIC.CKD.GRLD,64.53,188,26.88,8.13,0.97,0,0,5,2.51,26,51,6.56,0.09,0,0.515,75
BF.RND.KNUCKLE.TIP SIDE.STEAK.LN & FAT.0 FAT.CH.CKD.GRILLED,65.1,174,28.79,5.71,1.15,0,0,5,2.67,26,55,6.84,0.097,0,0.577,82
BF.RND.KNUCKLE.TIP SIDE.STEAK.LN & FAT.0 FAT.SE.CKD.GRILLED,66.28,160,29.24,3.91,1.17,0,0,5,2.98,27,52,8.06,0.142,0,0.524,78
BF.RND.OUT RND.BTTM RND.STK.LN & FAT.0 FAT.ALL GRDS.CK.GRLD,64.28,182,27.52,7.1,1.16,0,0,5,2.99,25,58,5.1,0.115,0,0.673,77
BF.RND.OUT RND.BTTM RND.STK.LN & FAT.0 FAT.CH.CKD.GRILLED,63.35,191,27.22,8.3,1.14,0,0,5,2.92,25,57,4.81,0.109,0,0.68,78
BF.RND.OUTSIDE RND.BTTM RND.STEAK.LN & FAT.0 FAT.ALL.RAW,72.19,142,21.59,5.53,1.05,0,0,5,2.53,24,62,3.94,0.134,0,0.721,61
BF.RND.OUTSIDE RND.BTTM RND.STEAK.LN & FAT.0 FAT.CHOIC.RAW,71.51,150,21.24,6.59,1.04,0,0,5,2.34,24,63,3.76,0.136,0,0.72,61
BISCUIT. PLN OR BUTMLK. REFRI DOUGH. HIGHER FAT,33.15,322,6.66,13.63,3.3,43.27,7.4,51,2.48,17,999,0.5,0.09,0,0.063,1
BISCUITS.MXD GRAIN.REFR DOUGH,37.8,263,6.1,5.6,3.1,47.4,0,17,2.75,30,670,0.6,0.115,0,0.065,0
BISCUITS.PLN OR BTTRMLK.COMMLY BKD,26.7,365,6.2,16.5,2.2,48.5,3.48,49,3.3,17,1052,0.48,0.083,0,0.047,1
BISCUITS.PLN OR BTTRMLK.DRY MIX,9.2,428,8,15.4,4,63.3,11.65,179,2.77,25,1276,0.6,0.154,0.3,0.076,2
BISCUITS.PLN OR BTTRMLK.DRY MIX.PREP,28.9,335,7.3,12.1,3.3,48.4,0,185,2.05,25,955,0.61,0.116,0.4,0.068,4
BISCUITS.PLN OR BTTRMLK.PREP FROM RECIPE,28.9,353,7,16.3,3.2,44.6,2.18,235,2.9,18,580,0.54,0.082,0.2,0.035,3
BISCUITS.PLN OR BTTRMLK.REFR DOUGH.HIGHER FAT.BKD,27.33,352,7.38,15.09,3.57,46.63,8.02,54,2.68,18,1080,0.53,0.088,0,0.066,1
BISCUITS.PLN OR BTTRMLK.REFR DOUGH.LOWER FAT,37.9,257,6.7,4.5,3.3,47.6,7,17,2.66,15,1248,0.39,0.079,0,0.024,0
BISCUITS.PLN OR BTTRMLK.REFR DOUGH.LOWER FAT.BKD,27.7,300,7.8,5.2,3.8,55.4,8.14,19,3.09,17,1451,0.46,0.092,0,0.029,0
BISON.GROUND.GRASS-FED.CKD,65.09,179,25.45,8.62,1.02,0,0,14,3.19,23,76,5.34,0.151,0,0.401,71
BISON.GROUND.GRASS-FED.RAW,71.59,146,20.23,7.21,0.91,0.05,0,11,2.78,21,70,4.59,0.14,0,0.383,55
BLACKBERRIES.CND.HVY SYRUP.SOL&LIQUIDS,75.06,92,1.31,0.14,0.39,23.1,19.7,21,0.65,17,3,0.18,0.133,2.8,0.036,0
BLACKBERRIES.FRZ.UNSWTND,82.21,64,1.18,0.43,0.51,15.67,10.67,29,0.8,22,1,0.25,0.12,3.1,0.061,0
BLACKBERRIES.RAW,88.15,43,1.39,0.49,0.37,9.61,4.88,29,0.62,20,1,0.53,0.165,21,0.03,0
BLACKBERRIES.WILD.RAW (ALASKA NATIVE),88.05,52,0.84,1.07,0.21,9.84,3.65,5,0.21,4,6,0.15,0.222,4.7,0.039,0
BLACKBERRY JUC.CND,90.9,38,0.3,0.6,0.4,7.8,7.7,12,0.48,21,1,0.41,0.114,11.3,0.021,0
BLOOD SAUSAGE,47.3,379,14.6,34.5,2.31,1.29,1.29,6,6.4,8,680,1.3,0.04,0,0.04,120
BLUEBERRIES.CND.HVY SYRUP.SOL&LIQUIDS,76.78,88,0.65,0.33,0.17,22.06,20.46,5,0.33,4,3,0.07,0.053,1.1,0.036,0
BLUEBERRIES.CND.LT SYRUP.DRND,75.72,88,1.04,0.4,0.18,22.66,17.45,6,0.43,4,3,0.09,0.053,0.5,0.049,0
BLUEBERRIES.FRZ.SWTND,77.4,81,0.4,0.13,0.12,21.95,19.72,6,0.39,2,1,0.06,0.039,1,0.059,0
BLUEBERRIES.FRZ.UNSWTND,86.59,51,0.42,0.64,0.18,12.17,8.45,8,0.18,5,1,0.07,0.033,2.5,0.059,0
BLUEBERRIES.RAW,84.21,57,0.74,0.33,0.24,14.49,9.96,6,0.28,6,1,0.16,0.057,9.7,0.052,0
BLUEBERRIES.WILD.CND.HVY SYRUP.DRND,70.63,107,0.56,0.34,0.15,28.32,19.28,19,2.2,6,1,0.12,0,0.3,0.035,0
BLUEBERRIES.WILD.FRZ,85.8,51,0,0.16,0.19,13.85,0,17,0.58,7,3,0.67,0,1.7,0.02,0
BLUEBERRIES.WILD.FRZ (ALASKA NATIVE),88.7,44,0.7,0,0.2,10.4,0,15,1.1,0,0,0,0,2.2,0,0
BLUEBERRIES.WILD.RAW (ALASKA NATIVE),85.48,61,1.22,0.76,0.23,12.31,6.46,13,0.37,7,6,0.2,0.03,18.3,0.026,0
BLUEFISH.COOKED.DRY HEAT,62.64,159,25.69,5.44,1.33,0,0,9,0.62,42,77,1.04,0.068,0,0.464,76
BLUEFISH.RAW,70.86,124,20.04,4.24,1.04,0,0,7,0.48,33,60,0.81,0.053,0,0.402,59
BOCKWURST  PORK  VEAL  RAW,54.47,301,14.03,25.87,2.26,2.95,1.33,41,1.15,26,497,2.07,0.1,3.2,0.378,93
BOLOGNA  PORK  TURKEY & BF,45.37,336,11.56,29.25,7.15,6.66,1.35,31,1.2,14,1055,2.22,0.093,11,0.388,75
BOLOGNA  PORK & TURKEY  LITE,64.87,211,13.06,16.06,2.56,3.45,0,48,1.15,17,716,0.73,0.082,0,0.163,79
BOLOGNA  TURKEY,64.55,209,11.42,16.05,3.3,4.68,2.9,123,3,16,1252,1.3,0.072,13.3,0.243,75
BOLOGNA.BEEF.LOW FAT,65,204,11.8,14.8,3.2,5.2,0,9,1,12,1180,1.83,0.03,1,0.15,44
BOLOGNA.BF,54.26,311,10.27,28.19,3.29,3.98,0,31,1.1,14,1080,9.1,0.068,15.2,0.17,56
BOLOGNA.BF & PORK,51.87,308,15.2,24.59,2.85,5.49,4.42,85,1.21,17,736,2.3,0.052,0.8,0.297,60
BOLOGNA.BF&PORK.LOFAT,63.4,230,11.5,19.3,3.2,2.6,0,11,0.66,12,1108,1.5,0.08,0,0.18,39
BOLOGNA.CHICK.PORK,50.85,336,10.31,30.61,4.04,4.19,0,196,1.12,16,1240,1.04,0.039,13.2,0.19,87
BOLOGNA.CHICK.PORK.BF,56.42,272,11.33,22.73,3.93,5.61,0,92,1.25,15,1120,1.22,0.064,15.8,0.227,83
BOLOGNA.CHICK.TURKEY.PORK,55.25,298,9.88,26.18,3.03,5.65,0,82,1.16,15,922,1.28,0.06,19.7,0.18,80
BOLOGNA.PORK,60.6,247,15.3,19.87,3.5,0.73,0,11,0.77,14,1184,2.03,0.08,0,0.27,59
BORAGE.CKD.BLD.DRND.W/SALT,91.88,25,2.09,0.81,1.67,3.55,0,102,3.64,57,324,0.22,0.143,32.5,0.088,0
BORAGE.CKD.BLD.DRND.WO/SALT,91.88,25,2.09,0.81,1.67,3.55,0,102,3.64,57,88,0.22,0.143,32.5,0.088,0
BORAGE.RAW,93,21,1.8,0.7,1.44,3.06,0,93,3.3,52,80,0.2,0.13,35,0.084,0
BOYSENBERRIES.CND.HVY SYRUP,76.26,88,0.99,0.12,0.32,22.31,0,18,0.43,11,3,0.19,0.07,6.2,0.038,0
BOYSENBERRIES.FRZ.UNSWTND,85.9,50,1.1,0.26,0.54,12.19,6.89,27,0.85,16,1,0.22,0.08,3.1,0.056,0
BRATWURST  BF & PORK  SMOKED,56.65,297,12.2,26.34,2.81,2,0,7,1,15,848,2.47,0.08,0,0.2,78
BRATWURST  PORK  BF & TURKEY  LITE  SMOKED,65.89,186,14.45,13.53,4.51,1.62,1.57,14,0.94,14,982,2.68,0.063,0,0.213,56
BRATWURST  VEAL  CKD,53.51,341,13.99,31.7,0.8,0,0,11,0.74,16,60,2.05,0.081,0,0.307,79
BRATWURST.CHICK.CKD,70.28,176,19.44,10.35,0.88,0,0,11,0.87,23,72,1.43,0.05,2,0.385,71
BRATWURST.PORK.CKD,51.45,333,13.72,29.18,2.8,2.85,0,28,0.53,21,846,3.25,0.104,0,0.327,74
BRAUNSCHWEIGER (A LIVER SAUSAGE).PORK,50.6,327,14.5,28.5,3.3,3.1,0,9,11.2,11,1160,2.81,0.24,0,0.33,180
BRAZILNUTS.DRIED.UNBLANCHED,3.48,656,14.32,66.43,3.51,12.27,2.33,160,2.43,376,3,4.06,1.743,0.7,0.101,0
BREAD CRUMBS.DRY.GRATED.PLN,6.51,395,13.35,5.3,2.87,71.98,6.2,183,4.83,43,732,1.45,0.255,0,0.121,0
BREAD CRUMBS.DRY.GRATED.SEASONED,6.35,383,14.13,5.48,5.55,68.49,5.74,182,4.92,46,1759,1.43,0.244,2.7,0.171,1
BREAD STICKS.PLAIN,6.1,412,12,9.5,3.9,68.4,1.26,22,4.28,32,657,0.88,0.188,0,0.073,0
BREAD STUFFING.BREAD.DRY MIX,4.2,386,11,3.4,5.2,76.2,8.27,97,3.81,40,1590,0.93,0.238,0,0.152,1
BREAD STUFFING.BREAD.DRY MIX.PREP,64.8,177,3.2,8.6,1.7,21.7,2.11,32,1.09,12,543,0.28,0.072,0,0.04,0
BREAD STUFFING.CORNBREAD.DRY MIX,4.6,389,10,4.2,4.4,76.7,4.77,78,3.25,44,1283,0.75,0.228,3.5,0.146,0
BREAD STUFFING.CORNBREAD.DRY MIX.PREP,64.9,179,2.9,8.8,1.5,21.9,3.92,26,0.94,13,455,0.23,0.069,0.8,0.038,0
BREAD. FRENCH OR VIENNA (INCLUDES SOURDOUGH),27.81,289,11.75,1.83,2.18,56.44,2.56,44,3.63,28,650,0.93,0.136,0.2,0.1,0
BREAD. FRENCH OR VIENNA. TSTD (IND SOURDOUGH),20.61,319,13,2.14,2.31,61.93,3.59,47,3.87,31,720,1.05,0.15,0.2,0.096,0
BREAD. WHEAT. TSTD,24.23,313,12.96,4.27,2.77,55.77,6.42,165,4.09,59,611,1.47,0.198,0.2,0.153,0
BREAD. WHOLE-WHEAT. COMMER PREP. TOASTED,24.25,306,16.27,4.07,4.25,51.16,5.77,130,2.96,99,583,2.15,0.67,0,0.237,0
BREAD.BANANA.PREP FROM RECIPE.MADE W/MARGARINE,29.2,326,4.3,10.5,1,54.6,0,21,1.4,14,302,0.35,0.072,1.7,0.15,43
BREAD.BOSTON BROWN.CANNED,47.2,195,5.2,1.5,2.8,43.3,2.42,70,2.1,63,631,0.5,0.08,0,0.082,1
BREAD.CORNBREAD.DRY MIX.ENR (INCL CORN MUFFIN MIX),7.8,418,7,12.2,3.6,69.5,20.34,57,2.5,24,1111,0.57,0.085,0.1,0.128,2
BREAD.CORNBREAD.DRY MIX.PREP,31.9,314,7.2,10,2.7,48.1,0,73,1.9,20,778,0.63,0.061,0.1,0.104,61
BREAD.CORNBREAD.DRY MIX.UNENR (INCL CORN MUFFIN MIX),7.8,418,7,12.2,3.6,69.5,0,57,0.59,24,1111,0.57,0.085,0.1,0.128,2
BREAD.CORNBREAD.PREP FROM RECIPE.MADE W/LOFAT (2%) MILK,39.1,266,6.7,7.1,3.6,43.5,0,249,2.5,25,658,0.6,0.051,0.3,0.113,40
BREAD.CRACKED-WHEAT,35.8,260,8.7,3.9,2.1,49.5,0,43,2.81,52,538,1.24,0.222,0,0.304,0
BREAD.EGG,34.7,283,9.5,6,1.8,47.8,1.78,93,3.04,19,492,0.79,0.162,0,0.064,51
BREAD.EGG.TOASTED,28.3,315,10.5,6.6,2,52.6,1.94,102,3.34,21,540,0.86,0.178,0,0.064,56
BREAD.IRISH SODA.PREP FROM RECIPE,30.1,290,6.6,5,1.9,56,0,81,2.69,23,398,0.57,0.13,0.8,0.083,18
BREAD.ITALIAN,35.7,271,8.8,3.5,1.9,50,0.83,78,2.94,27,584,0.86,0.191,0,0.048,0
BREAD.KNEEL DOWN (NAVAJO),52.96,195,4.29,2.21,1.07,39.47,3.74,5,1.11,55,126,1.46,0.095,0,0,0
BREAD.MULTI-GRAIN (INCLUDES WHOLE-GRAIN),36.94,265,13.36,4.23,2.13,43.34,6.39,103,2.5,78,420,1.7,0.282,0.1,0.263,0
BREAD.MULTI-GRAIN.TSTD (INCLUDES WHOLE-GRAIN),31.46,288,14.52,4.6,2.32,47.11,6.94,111,2.72,85,457,1.85,0.307,0.1,0.286,0
BREAD.OAT BRAN,44,236,10.4,4.4,1.5,39.8,7.7,65,3.12,35,407,0.89,0.135,0,0.073,0
BREAD.OAT BRAN.TOASTED,38.5,259,11.4,4.8,1.6,43.7,8.46,71,3.43,34,448,1.05,0.128,0,0.04,0
BREAD.OATMEAL,36.7,269,8.4,4.4,2,48.5,8.14,66,2.7,37,599,1.02,0.209,0,0.068,0
BREAD.OATMEAL.TOASTED,31.2,292,9.2,4.8,2.1,52.7,8.84,72,2.94,41,651,1.11,0.227,0.3,0.067,0
BREAD.PAN DULCE.SWT YEAST BREAD,21.54,367,9.42,11.58,1.08,56.38,12.5,86,2.87,24,228,0.84,0.121,0,0.057,0
BREAD.PITA.WHITE.ENRICHED,32.1,275,9.1,1.2,1.9,55.7,1.3,86,2.62,26,536,0.84,0.168,0,0.034,0
BREAD.PITA.WHITE.UNENR,32.1,275,9.1,1.2,1.9,55.7,0,86,1.4,26,536,0.84,0.168,0,0.034,0
BREAD.PITA.WHOLE-WHEAT,30.6,266,9.8,2.6,2,55,0.82,15,3.06,69,532,1.52,0.29,0,0.265,0
BREAD.POUND CAKE TYPE.PAN DE TORTA SALVADORAN,22.38,390,7.06,17.45,1.82,51.29,18.1,46,2.2,19,390,0.62,0.03,0,0.05,0
BREAD.PROT (INCL GLUTEN),40,245,12.1,2.2,1.9,43.8,1.44,124,4.15,65,547,1.82,0.417,0,0.071,0
BREAD.PROT.TSTD (INCL GLUTEN),34,270,13.2,2.4,2.1,48.1,1.44,136,4.56,56,601,1.17,0.205,0,0.07,0
BREAD.PUMPERNICKEL,37.9,250,8.7,3.1,2.6,47.5,0.53,68,2.87,54,671,1.48,0.287,0,0.126,0
BREAD.PUMPERNICKEL.TSTD,31.8,275,9.5,3.4,2.8,52.2,0.58,74,3.15,60,738,1.62,0.315,0,0.124,0
BREAD.RAISIN.ENRICHED,33.6,274,7.9,4.4,1.8,52.3,5.68,66,2.9,26,390,0.72,0.198,0.1,0.069,0
BREAD.RAISIN.TSTD.ENR,27.8,297,8.6,4.8,1.9,56.9,6.18,72,3.15,28,424,0.78,0.215,0.4,0.068,0
BREAD.RAISIN.UNENRICHED,33.6,274,7.9,4.4,1.8,52.3,0,66,1.83,26,390,0.72,0.198,0.1,0.069,0
BREAD.RED-CAL.OAT BRAN,46,201,8,3.2,1.5,41.3,3.52,57,3.15,55,351,1.05,0.291,0,0.103,0
BREAD.RED-CAL.OAT BRAN.TSTD,35.7,239,9.5,3.8,1.8,49.2,4.2,68,3.75,55,418,1.19,0.147,0,0.087,0
BREAD.RED-CAL.OATMEAL,44,210,7.6,3.5,1.6,43.3,0,115,2.3,24,388,0.83,0.099,0.2,0.045,0
BREAD.RED-CAL.WHEAT,43.2,198,9.1,2.3,1.9,43.6,3.07,80,2.96,39,511,1.12,0.137,0.1,0.126,0
BREAD.RED-CAL.WHITE,42.9,207,8.7,2.5,1.7,44.3,4.76,94,3.19,23,453,1.34,0.33,0.5,0.042,0
BREAD.REDUCED-CALORIE.RYE,46,203,9.1,2.9,1.6,40.5,2.29,76,3.1,22,405,0.66,0.133,0.4,0.077,0
BREAD.RICE BRAN,41,243,8.9,4.6,2,43.5,4.67,69,3.61,80,440,1.31,0.184,0,0.268,0
BREAD.RICE BRAN.TOASTED,35.9,264,9.7,5,2.2,47.3,5.08,75,3.92,76,478,1.38,0.182,0,0.208,0
BREAD.RYE,37.3,258,8.5,3.3,2.5,48.3,3.85,73,2.83,40,660,1.14,0.186,0.4,0.075,0
BREAD.RYE.TOASTED,31,284,9.4,3.6,2.7,53.1,4.23,80,3.1,43,725,1.25,0.204,0.2,0.074,0
BREAD.SALVADORAN SWT CHS (QUESADILLA SALVADORENA),25.48,374,7.12,17.12,2.44,47.84,24.9,73,0.98,11,510,0.8,0.03,0,0.04,59
BREAD.WHEAT,35.74,266,10.91,3.64,2.2,47.51,5.75,142,3.46,48,521,1.21,0.159,0.2,0.119,0
BREAD.WHEAT BRAN,37.8,248,8.8,3.4,2.2,47.8,9.68,74,3.07,81,486,1.35,0.221,0,0.176,0
BREAD.WHEAT GERM,37.1,261,9.6,2.9,2.1,48.3,3.73,89,3.45,28,553,0.98,0.204,0.2,0.079,0
BREAD.WHEAT GERM.TOASTED,29.3,293,10.7,3.3,2.4,54.3,4.14,100,3.88,38,621,1.46,0.202,0.3,0.096,1
BREAD.WHITE.COMMLY PREP (INCL SOFT BREAD CRUMBS),36.44,266,7.64,3.29,2.03,50.61,4.31,151,3.74,23,681,0.74,0.253,0,0.084,0
BREAD.WHITE.COMMLY PREP.LO NA NO SALT,36.7,267,8.2,3.6,1.9,49.5,4.31,108,3.03,24,27,0.62,0.126,0,0.064,1
BREAD.WHITE.COMMLY PREP.TSTD,30.4,293,9,4,2.1,54.4,4.74,119,3.33,26,592,0.68,0.138,0,0.063,1
BREAD.WHITE.COMMLY PREP.TSTD.LO NA NO SALT,30.4,293,9,4,2.1,54.4,0,119,3.33,26,30,0.68,0.138,0,0.063,1
BREAD.WHITE.PREP FROM RECIPE.MADE W/LOFAT (2%) MILK,35.3,285,7.9,5.7,1.5,49.6,0,57,2.97,19,359,0.64,0.115,0.2,0.051,3
BREAD.WHITE.PREP FROM RECIPE.MADE W/NONFAT DRY MILK,34.8,274,7.7,2.6,1.4,53.6,0,32,3.18,17,336,0.59,0.112,0,0.037,0
BREAD.WHOLE-WHEAT.COMM. PREPARED,38.58,247,12.95,3.35,3.82,41.29,5.57,107,2.43,82,472,1.8,0.377,0,0.209,0
BREAD.WHOLE-WHEAT.PREP FROM RECIPE,32.7,278,8.4,5.4,2,51.4,3.84,33,3.1,81,346,1.5,0.253,0,0.199,0
BREAD.WHOLE-WHEAT.PREP FROM RECIPE.TSTD,26,305,9.2,5.9,2.2,56.4,4.22,36,3.4,89,381,1.65,0.278,0,0.197,0
BREADFRUIT SEEDS.BOILED,59.3,168,5.3,2.3,1.1,32,0,61,0.6,50,23,0.83,1.069,6.1,0.298,0
BREADFRUIT SEEDS.RAW,56.27,191,7.4,5.59,1.5,29.24,0,36,3.67,54,25,0.9,1.148,6.6,0.32,0
BREADFRUIT SEEDS.ROASTED,49.7,207,6.2,2.7,1.3,40.1,0,86,0.9,62,28,1.03,1.321,7.6,0.42,0
BREADFRUIT.RAW,70.65,103,1.07,0.23,0.93,27.12,11,17,0.54,25,2,0.12,0.084,29,0.1,0
BREAKFAST BAR.CORN FLAKE CRUST W/FRUIT,14.5,377,4.4,7.5,0.8,72.9,35.1,41,4.86,27,167,4.1,0.1,0,1.4,0
BREAKFAST BARS.OATS.SUGAR.RAISINS.COCNT (INCL GRANOLA BAR),4.1,464,9.8,17.6,1.8,66.7,27.52,60,3.18,101,278,1.6,0.36,1,0.35,0
BREAKFAST BURRITO.HAM&CHS FLAVOR.FRZ ENTREE,53.8,214,9.7,7,1.4,28.1,0,0,3.2,0,409,0,0,0,0,194
BREAKFAST ITEMS.BISCUIT W/EGG&SAUSAGE,44.48,312,11.13,20.77,2.56,21.05,0.95,51,1.9,13,672,0.9,0.244,0,0.068,161
BREAKFAST TART.LOFAT,12.04,372,3.99,5.99,1.18,76.8,4.87,44,3.42,44,252,0.28,0.073,3.8,0.38,0
BREAKFAST TYPE DRK.ORANGE FLAVOR.RED SUGAR,98.87,4,0.04,0,0.19,0.9,0.03,11,0,4,5,0.01,0.01,25.1,0.084,0
BROADBEANS (FAVA BEANS).MATURE SEEDS.RAW,10.98,341,26.12,1.53,3.08,58.29,5.7,103,6.7,192,13,3.14,0.824,1.4,0.366,0
BROADBEANS (FAVA BNS).MATURE SEEDS.CKD.BLD.W/SALT,71.54,110,7.6,0.4,0.81,19.65,1.82,36,1.5,43,241,1.01,0.259,0.3,0.072,0
BROADBEANS (FAVA BNS).MATURE SEEDS.CKD.BLD.WO/SALT,71.54,110,7.6,0.4,0.81,19.65,1.82,36,1.5,43,5,1.01,0.259,0.3,0.072,0
BROADBEANS (FAVA BNS).MATURE SEEDS.CND,80.32,71,5.47,0.22,1.58,12.41,0,26,1,32,453,0.62,0.109,1.8,0.045,0
BROADBEANS.IMMAT SEEDS.CKD.BLD.DRND.W/SALT,83.7,62,4.8,0.5,0.9,10.1,0,18,1.5,31,277,0.47,0.06,19.8,0.029,0
BROADBEANS.IMMAT SEEDS.CKD.BLD.DRND.WO/SALT,83.7,62,4.8,0.5,0.9,10.1,0,18,1.5,31,41,0.47,0.06,19.8,0.029,0
BROADBEANS.IMMAT SEEDS.RAW,81,72,5.6,0.6,1.1,11.7,0,22,1.9,38,50,0.58,0.074,33,0.038,0
BROCCOLI RAAB.CKD,91.41,33,3.83,0.52,1.11,3.12,0.62,118,1.27,27,56,0.54,0.075,37,0.22,0
BROCCOLI RAAB.RAW,92.55,22,3.17,0.49,0.93,2.85,0.38,108,2.14,22,33,0.77,0.042,20.2,0.171,0
BROCCOLI.CHINESE.COOKED,93.54,22,1.14,0.72,0.79,3.81,0.84,100,0.56,18,7,0.39,0.061,28.2,0.07,0
BROCCOLI.CKD.BLD.DRND.W/SALT,89.25,35,2.38,0.41,0.77,7.18,1.39,40,0.67,21,262,0.45,0.061,64.9,0.2,0
BROCCOLI.CKD.BLD.DRND.WO/SALT,89.25,35,2.38,0.41,0.77,7.18,1.39,40,0.67,21,41,0.45,0.061,64.9,0.2,0
BROCCOLI.FLOWER CLUSTERS.RAW,90.69,28,2.98,0.35,0.92,5.24,0,48,0.88,25,27,0.4,0.045,93.2,0.159,0
BROCCOLI.FRZ.CHOPD.CKD.BLD.DRND.W/SALT,90.72,28,3.1,0.12,0.71,5.35,1.47,33,0.61,13,260,0.28,0.034,40.1,0.13,0
BROCCOLI.FRZ.CHOPD.CKD.BLD.DRND.WO/SALT,90.72,28,3.1,0.12,0.71,5.35,1.47,33,0.61,13,11,0.28,0.034,40.1,0.13,0
BROCCOLI.FRZ.CHOPD.UNPREP,91.46,26,2.81,0.29,0.66,4.78,1.35,56,0.81,18,24,0.48,0.038,56.4,0.13,0
BROCCOLI.FRZ.SPEARS.CKD.BLD.DRND.W/SALT,90.72,28,3.1,0.11,0.71,5.35,1.44,51,0.61,20,260,0.3,0.043,40.1,0.13,0
BROCCOLI.FRZ.SPEARS.CKD.BLD.DRND.WO/SALT,90.72,28,3.1,0.11,0.71,5.36,1.47,51,0.61,20,24,0.3,0.043,40.1,0.13,0
BROCCOLI.FRZ.SPEARS.UNPREP,90.55,29,3.06,0.34,0.7,5.35,1.47,41,0.72,16,17,0.34,0.036,68.3,0.175,0
